,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
0,1st match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Kolkata Knight Riders,222,RCB,82,Kolkata Knight Riders,140 runs,2008,M Chinnaswamy Stadium, Bangalore
1,2nd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Chennai Super Kings,Bat,Chennai Super Kings,240,Kings XI Punjab,207,Chennai Super Kings,33 runs,2008,Punjab Cricket Association Stadium, Mohali
2,3rd match,"Feroz Shah Kotla, Delhi",Night,Rajasthan Royals,Bat,Rajasthan Royals,129,Delhi Daredevils,132,Delhi Daredevils,9 wickets ,2008,Feroz Shah Kotla, Delhi
3,4th match,"Eden Gardens, Kolkata",Evening,Deccan Chargers,Bat,Deccan Chargers,110,Kolkata Knight Riders,112,Kolkata Knight Riders,5 wickets ,2008,Eden Gardens, Kolkata
4,5th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,165,RCB,166,Royal Challengers Bangalore,5 wickets ,2008,Wankhede Stadium, Mumbai
5,6th match,"Sawai Mansingh Stadium, Jaipur",Night,Kings XI Punjab,Bat,Kings XI Punjab,166,Rajasthan Royals,168,Rajasthan Royals,6 wickets ,2008,Sawai Mansingh Stadium, Jaipur
6,7th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Deccan Chargers,Bat,Deccan Chargers,142,Delhi Daredevils,143,Delhi Daredevils,9 wickets ,2008,Rajiv Gandhi International Stadium, Uppal
7,8th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Mumbai Indians,Field,Chennai Super Kings,208,Mumbai Indians,202,Chennai Super Kings,6 runs,2008,MA Chidambaram Stadium,Chennai
8,9th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Rajasthan Royals,Field,Deccan Chargers,214,Rajasthan Royals,217,Rajasthan Royals,3 wickets ,2008,Rajiv Gandhi International Stadium, Uppal
9,10th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Mumbai Indians,Field,Kings XI Punjab,182,Mumbai Indians,116,Kings XI Punjab,66 runs,2008,Punjab Cricket Association Stadium, Mohali
10,11th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Kolkata Knight Riders,Bat,Kolkata Knight Riders,147,Chennai Super Kings,152,Chennai Super Kings,9 wickets ,2008,MA Chidambaram Stadium,Chennai
11,12th match,"M Chinnaswamy Stadium, Bangalore",Night,Rajasthan Royals,Field,RCB,135,Rajasthan Royals,138,Rajasthan Royals,7 wickets ,2008,M Chinnaswamy Stadium, Bangalore
12,13th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Delhi Daredevils,Bat,Delhi Daredevils,158,Kings XI Punjab,162,Kings XI Punjab,4 wickets ,2008,Punjab Cricket Association Stadium, Mohali
13,14th match,"Dr DY Patil Sports Academy, Mumbai",Night,Deccan Chargers,Field,Mumbai Indians,154,Deccan Chargers,155,Deccan Chargers,10 wickets ,2008,Dr DY Patil Sports Academy, Mumbai
14,15th match,"M Chinnaswamy Stadium, Bangalore",Night,Chennai Super Kings,Bat,Chennai Super Kings,178,RCB,165,Chennai Super Kings,13 runs,2008,M Chinnaswamy Stadium, Bangalore
15,16th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,137,Mumbai Indians,138,Mumbai Indians,7 wickets ,2008,Eden Gardens, Kolkata
16,17th match,"Feroz Shah Kotla, Delhi",Night,Royal Challengers Bangalore,Field,Delhi Daredevils,191,RCB,181,Delhi Daredevils,10 runs,2008,Feroz Shah Kotla, Delhi
17,18th match,"Sawai Mansingh Stadium, Jaipur",Evening,Rajasthan Royals,Bat,Rajasthan Royals,196,Kolkata Knight Riders,151,Rajasthan Royals,45 runs,2008,Sawai Mansingh Stadium, Jaipur
18,19th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Kings XI Punjab,Field,Deccan Chargers,164,Kings XI Punjab,167,Kings XI Punjab,7 wickets ,2008,Rajiv Gandhi International Stadium, Uppal
19,20th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,169,Delhi Daredevils,172,Delhi Daredevils,8 wickets ,2008,MA Chidambaram Stadium,Chennai
20,21st match,"M Chinnaswamy Stadium, Bangalore",Evening,Deccan Chargers,Field,RCB,156,Deccan Chargers,153,Royal Challengers Bangalore,3 runs,2008,M Chinnaswamy Stadium, Bangalore
21,22nd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Bat,Kings XI Punjab,178,Kolkata Knight Riders,169,Kings XI Punjab,9 runs,2008,Punjab Cricket Association Stadium, Mohali
22,23rd match,"Dr DY Patil Sports Academy, Mumbai",Evening,Delhi Daredevils,Field,Mumbai Indians,162,Delhi Daredevils,133,Mumbai Indians,29 runs,2008,Dr DY Patil Sports Academy, Mumbai
23,24th match,"Sawai Mansingh Stadium, Jaipur",Night,Chennai Super Kings,Bat,Chennai Super Kings,109,Rajasthan Royals,110,Rajasthan Royals,8 wickets ,2008,Sawai Mansingh Stadium, Jaipur
24,25th match,"M Chinnaswamy Stadium, Bangalore",Night,Kings XI Punjab,Field,RCB,126,Kings XI Punjab,127,Kings XI Punjab,6 wickets ,2008,M Chinnaswamy Stadium, Bangalore
25,26th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Deccan Chargers,Field,Chennai Super Kings,144,Deccan Chargers,148,Deccan Chargers,7 wickets ,2008,MA Chidambaram Stadium,Chennai
26,27th match,"Dr DY Patil Sports Academy, Mumbai",Night,Mumbai Indians,Field,Rajasthan Royals,103,Mumbai Indians,104,Mumbai Indians,7 wickets ,2008,Dr DY Patil Sports Academy, Mumbai
